type	classe	imageName	date	scene	Vmin	Vmax	Vmean	Rmin	Rmax	Rmean	NIRmin	NIRmax	NIRmean	MIRmin	MIRmax	MIRmean	evi2min	evi2max	evi2mean	ndcimin	ndcimax	ndcimean	ndvimin	ndvimax	ndvimean	mntmin	mntmax	mntmean	ndwimin	ndwimax	ndwimean
vegbasse	2	20101005-687-342	20101005	687-342	283	312	292,92	31	35	32,77	54	59	56,15	115	131	118,77	0,39	0,49	0,43	0,54	0,59	0,57	0,24	0,3	0,26	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	108	327	215,88	23	95	30,51	43	78	52,69	52	184	88,99	-0,15	0,56	0,44	0,29	0,64	0,49	-0,11	0,33	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20101005-687-342	20101005	687-342	294	426	378,39	33	39	36,08	57	68	64,24	135	172	152,91	0,41	0,51	0,46	0,59	0,65	0,62	0,25	0,31	0,28	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	115	312	219,17	25	47	31,75	46	71	54,34	58	136	95,2	0,29	0,53	0,43	0,34	0,61	0,5	0,19	0,32	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20101005-687-342	20101005	687-342	318	396	373,26	33	37	34,51	56	67	62,91	139	174	163,17	0,41	0,53	0,48	0,62	0,67	0,65	0,25	0,31	0,29	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	102	327	213,2	23	46	30,35	43	68	53,07	60	136	96,81	0,29	0,58	0,45	0,34	0,64	0,52	0,18	0,34	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20101005-687-342	20101005	687-342	329	378	356,49	35	37	35,73	61	67	64,2	147	175	164,8	0,41	0,53	0,47	0,62	0,67	0,64	0,25	0,31	0,28	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	108	286	205,37	23	47	30,73	43	67	53,11	50	121	93,64	0,21	0,55	0,44	0,34	0,6	0,5	0,14	0,32	0,27	NA	NA	NA	NA	NA	NA
nuage	6	20101005-687-342	20101005	687-342	173	281	240,54	33	129	71,57	54	151	93,33	103	210	150,1	0,11	0,47	0,22	0,23	0,55	0,36	0,08	0,28	0,14	NA	NA	NA	NA	NA	NA
ombre	7	20101005-687-342	20101005	687-342	65	229	129,79	22	64	27,51	43	76	48,43	33	99	57,11	0,09	0,56	0,46	-0,12	0,53	0,34	0,06	0,33	0,28	NA	NA	NA	NA	NA	NA
nuage	6	20101005-687-342	20101005	687-342	191	255	226,72	38	95	61,21	59	120	83,22	104	170	134,15	0,16	0,38	0,25	0,25	0,51	0,38	0,1	0,23	0,16	NA	NA	NA	NA	NA	NA
nuage	6	20101005-687-342	20101005	687-342	214	251	234,16	41	80	57,31	62	103	80,58	105	147	125,89	0,19	0,37	0,27	0,29	0,47	0,38	0,12	0,23	0,17	NA	NA	NA	NA	NA	NA
Pinot	11	20101005-687-342	20101005	687-342	163	253	216,46	27	34	30,73	48	57	53,09	72	91	81,71	0,34	0,55	0,44	0,4	0,52	0,45	0,21	0,32	0,27	NA	NA	NA	NA	NA	NA
foret	10	20101005-687-342	20101005	687-342	104	307	213,7	23	43	29,93	43	70	52,93	58	124	93,43	0,29	0,58	0,46	0,36	0,6	0,51	0,18	0,34	0,28	NA	NA	NA	NA	NA	NA
vegbasse	2	20101005-687-342	20101005	687-342	283	312	292,92	31	35	32,77	54	59	56,15	115	131	118,77	0,39	0,49	0,43	0,54	0,59	0,57	0,24	0,3	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-687-342	20110902	687-342	336	384	364,16	34	37	35,2	55	64	59,78	119	140	132,34	0,38	0,48	0,42	NA	NA	NA	0,24	0,29	0,26	NA	NA	NA	NA	NA	NA
foret	12	20110902-687-342	20110902	687-342	81	322	194,72	21	72	28,53	40	87	48,72	38	147	76,53	0,09	0,58	0,43	NA	NA	NA	0,06	0,34	0,26	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-687-342	20110902	687-342	334	397	370,02	30	37	34,27	55	67	61,28	122	152	138,94	0,43	0,54	0,47	NA	NA	NA	0,26	0,32	0,28	NA	NA	NA	NA	NA	NA
foret	10	20110902-687-342	20110902	687-342	85	341	196,01	23	38	28,16	40	64	48,87	41	128	80,02	0,31	0,56	0,44	NA	NA	NA	0,2	0,33	0,27	NA	NA	NA	NA	NA	NA
nuage	6	20110902-687-342	20110902	687-342	103	530	433,43	34	394	323,4	50	429	352,34	52	381	306,28	0,02	0,3	0,07	NA	NA	NA	0,01	0,19	0,05	NA	NA	NA	NA	NA	NA
ombr	7	20110902-687-342	20110902	687-342	54	226	78,45	26	43	29,47	40	62	44,59	26	92	35,98	0,22	0,44	0,33	NA	NA	NA	0,14	0,27	0,2	NA	NA	NA	NA	NA	NA
nuage	6	20110902-687-342	20110902	687-342	83	530	378,53	32	394	261,88	48	429	285,5	44	381	292,82	0,03	0,35	0,08	NA	NA	NA	0,02	0,22	0,05	NA	NA	NA	NA	NA	NA
ombre	7	20110902-687-342	20110902	687-342	93	255	156,34	29	43	34,17	47	62	51,75	52	119	77,28	0,23	0,44	0,33	NA	NA	NA	0,15	0,27	0,21	NA	NA	NA	NA	NA	NA
frange	8	20110902-687-342	20110902	687-342	143	237	206,45	37	112	82,4	55	134	101,45	83	171	137,19	0,12	0,31	0,17	NA	NA	NA	0,08	0,2	0,11	NA	NA	NA	NA	NA	NA
frange	8	20110902-687-342	20110902	687-342	153	243	211,06	35	98	60,1	53	122	81,58	91	171	127,23	0,15	0,41	0,25	NA	NA	NA	0,1	0,25	0,16	NA	NA	NA	NA	NA	NA
frange	8	20110902-687-342	20110902	687-342	182	270	217,14	32	64	50,6	55	87	72,82	95	136	123,41	0,2	0,46	0,29	NA	NA	NA	0,13	0,28	0,18	NA	NA	NA	NA	NA	NA
frange	8	20110902-687-342	20110902	687-342	147	237	207,95	29	86	54,18	48	111	76,19	74	137	113,46	0,15	0,47	0,28	NA	NA	NA	0,1	0,28	0,18	NA	NA	NA	NA	NA	NA
vegbasse	2	20110902-687-342	20110902	687-342	286	355	328,33	30	35	32,63	55	62	57,65	125	153	143,83	0,41	0,56	0,46	NA	NA	NA	0,25	0,33	0,28	NA	NA	NA	NA	NA	NA
foret	12	20110902-687-342	20110902	687-342	89	309	194,38	21	58	27,47	40	74	48,61	47	131	86,7	0,15	0,58	0,46	NA	NA	NA	0,1	0,34	0,28	NA	NA	NA	NA	NA	NA
Pinot	11	20110902-687-342	20110902	687-342	147	232	195,54	24	32	28,91	43	55	50,05	68	98	78,28	0,35	0,53	0,44	NA	NA	NA	0,22	0,32	0,27	NA	NA	NA	NA	NA	NA
vegbasse	2	20110912-688-342	20110912	688-342	366	442	414,41	48	52	49,41	74	79	75,91	170	200	194,95	0,32	0,38	0,34	NA	NA	NA	0,2	0,23	0,21	NA	NA	NA	NA	NA	NA
vegbasse	2	20110912-688-342	20110912	688-342	353	400	381,54	46	50	47,98	72	77	74,53	173	200	187,36	0,33	0,38	0,35	NA	NA	NA	0,21	0,24	0,22	NA	NA	NA	NA	NA	NA
vegbasse	2	20110912-688-342	20110912	688-342	358	436	398,56	47	64	51,23	71	87	76,88	179	200	193,14	0,24	0,37	0,32	NA	NA	NA	0,15	0,23	0,2	NA	NA	NA	NA	NA	NA
foret	10	20110912-688-342	20110912	688-342	219	335	289,42	41	147	71,81	62	165	93,19	106	200	162,32	0,06	0,39	0,23	NA	NA	NA	0,04	0,24	0,15	NA	NA	NA	NA	NA	NA
foret	10	20110912-688-342	20110912	688-342	154	418	277,49	36	53	44,25	57	79	67,73	77	191	138,24	0,25	0,4	0,34	NA	NA	NA	0,16	0,25	0,21	NA	NA	NA	NA	NA	NA
foret	10	20110912-688-342	20110912	688-342	141	386	257,15	34	59	43,44	54	82	66,94	72	193	126,21	0,21	0,42	0,34	NA	NA	NA	0,14	0,26	0,21	NA	NA	NA	NA	NA	NA
roche	4	20110912-688-342	20110912	688-342	175	206	192,33	89	130	110,83	91	114	101,92	199	200	199,92	-0,11	0,02	-0,06	NA	NA	NA	-0,08	0,01	-0,04	NA	NA	NA	NA	NA	NA
roche	4	20110912-688-342	20110912	688-342	163	212	185,33	62	91	79,26	73	101	89,04	173	200	198,26	0,02	0,15	0,09	NA	NA	NA	0,02	0,1	0,06	NA	NA	NA	NA	NA	NA
vegbasse	2	20110912-688-342	20110912	688-342	358	438	397,57	45	53	48,61	69	83	76,76	174	200	196,44	0,31	0,4	0,36	NA	NA	NA	0,2	0,25	0,22	NA	NA	NA	NA	NA	NA
nuage	6	20110912-688-342	20110912	688-342	150	462	386,65	60	221	188,5	81	168	157,8	94	200	196,98	-0,21	0,27	-0,1	NA	NA	NA	-0,15	0,17	-0,07	NA	NA	NA	NA	NA	NA
ombre	7	20110912-688-342	20110912	688-342	79	335	134,87	33	69	39,07	54	91	61,7	36	173	63,92	0,21	0,44	0,36	NA	NA	NA	0,14	0,27	0,23	NA	NA	NA	NA	NA	NA
nuage	6	20110912-688-342	20110912	688-342	199	360	304,78	43	203	105,93	66	168	122,42	107	200	186,67	-0,15	0,34	0,13	NA	NA	NA	-0,1	0,21	0,09	NA	NA	NA	NA	NA	NA
